rank,track_id,lead_genre,matched_genres,matched_tags,final_score,tempo_similarity,tempo_contribution,key_similarity,key_contribution,mode_similarity,mode_contribution,duration_ms_similarity,duration_ms_contribution,lead_genre_similarity,lead_genre_contribution,genre_overlap_similarity,genre_overlap_contribution,tag_overlap_similarity,tag_overlap_contribution
4730,M8qT34UGTDWoiiu6,pop-rock,pop,pop,0.203387,0.008576,0.001029,0.769917,0.061593,0.271408,0.018999,0.466715,0.037337,0.0,0.0,0.229808,0.043664,0.177239,0.040765
4731,ZgsXwOO0gBurqog0,folk,folk|pop,pop,0.203278,0.257157,0.030859,0.103251,0.00826,0.271408,0.018999,0.084848,0.006788,0.202347,0.04654,0.268772,0.051067,0.177239,0.040765
4732,UGuhPtvhpJUMXbRt,female vocalists,pop,female vocalists|pop,0.203253,0.263224,0.031587,0.563416,0.045073,0.271408,0.018999,0.139219,0.011138,0.0,0.0,0.229808,0.043664,0.229532,0.052792
4733,JKZ9QL2Syl94IDfa,rap,rap|electronic,electronic,0.203137,0.08751,0.010501,0.0,0.0,0.271408,0.018999,0.769452,0.061556,0.320991,0.073828,0.128458,0.024407,0.0602,0.013846
4734,pdVwrdTjEJK625ST,poptron,electronic,electronic|dance,0.202988,0.608776,0.073053,0.769917,0.061593,0.271408,0.018999,0.106785,0.008543,0.0,0.0,0.078055,0.01483,0.112913,0.02597
4735,IVIVNGnpvMlcplIm,electronic,electronic,electronic|dance,0.202899,0.408243,0.048989,0.0,0.0,0.271408,0.018999,0.130585,0.010447,0.363755,0.083664,0.078055,0.01483,0.112913,0.02597
4736,37pzcH312KoW1TQm,electronic,electronic,electronic,0.202754,0.52629,0.063155,0.103251,0.00826,0.271408,0.018999,0.0,0.0,0.363755,0.083664,0.078055,0.01483,0.0602,0.013846
4737,u6Rhsq80VdFrP7tw,indie folk,folk,indie|alternative,0.202742,0.582776,0.069933,0.769917,0.061593,0.271408,0.018999,0.215881,0.01727,0.0,0.0,0.038964,0.007403,0.119758,0.027544
4738,YsOWqj4Y08TFYvjs,electronic,electronic,electronic|dance,0.202296,0.124624,0.014955,0.563416,0.045073,0.0,0.0,0.222548,0.017804,0.363755,0.083664,0.078055,0.01483,0.112913,0.02597
4739,EVVkt70BBd2Mie1X,electronic,electronic,electronic|indie|alternative,0.202265,0.010776,0.001293,0.0,0.0,0.271408,0.018999,0.526115,0.042089,0.363755,0.083664,0.078055,0.01483,0.179958,0.04139
4740,YcJRIBZvNRQTQ1tL,acoustic,folk,indie,0.202258,0.26191,0.031429,0.769917,0.061593,0.271408,0.018999,0.891685,0.071335,0.0,0.0,0.038964,0.007403,0.049994,0.011499
4741,QOyG0ceVJsd4QDGE,electronic,electronic,electronic,0.202144,0.02429,0.002915,0.563416,0.045073,0.271408,0.018999,0.285215,0.022817,0.363755,0.083664,0.078055,0.01483,0.0602,0.013846
4742,ZGsm83GvWdFQ9YxW,folk,folk,indie,0.201982,0.57349,0.068819,0.0,0.0,0.271408,0.018999,0.609019,0.048722,0.202347,0.04654,0.038964,0.007403,0.049994,0.011499
4743,3YytETAgSeDFgQu6,rap,rap|electronic,electronic,0.201934,0.077176,0.009261,0.769917,0.061593,0.271408,0.018999,0.0,0.0,0.320991,0.073828,0.128458,0.024407,0.0602,0.013846
